firstname,lastname,city,year,ethnicity
Aisha,Wahab,Hayward,2018,white
Angela,Andrews,Hayward,2020,white
Elisa,Márquez,Hayward,2020,hispanic
Mark,Salinas,Hayward,2020,hispanic
Francisco,Zermeño,Hayward,2020,hispanic
Julie,Roche,Hayward,2022,white
George,Syrop,Hayward,2022,white
Susan,Jones,HEALDSBURG,2010,black
Jim,Wood,HEALDSBURG,2010,white
Stephen,Babb,HEALDSBURG,2010,white
Shaun,McCaffery,Healdsburg,2012,white
Tom,Chambers,Healdsburg,2012,white
Gary,Plass,Healdsburg,2012,white
Eric,Ziedrich,Healdsburg,2014,white
Jeff,Civian,Healdsburg,2014,white
Shaun,McCaffery,Healdsburg,2016,white
David,Hagele,Healdsburg,2016,white
Joe,Naujokas,Healdsburg,2016,white
Leah,Gold,Healdsburg,2017,white
Leah,Gold,Healdsburg,2018,white
Evelyn,Mitchell,Healdsburg,2018,white
Ariel,Kelley,Healdsburg,2020,white
Skylaer,Palacios,Healdsburg,2020,hispanic
David,Hagele,Healdsburg,2020,white
Evelyn,Mitchell,Healdsburg,2022,white
Chris,Herrod,Healdsburg,2022,white
Ronald,Edwards,Healdsburg,2022,white
Linda,Krupa,HEMET,2010,white
Larry,Smith,HEMET,2010,black
Shellie,Milne,Hemet,2012,white
Bonnie,Wright,Hemet,2012,white
Robert,Youssef,Hemet,2012,white
Linda,Krupa,Hemet,2014,white
K.,Raver,Hemet,2014,white
Karlee,Meyer,Hemet,2016,white
Michael,Perciful,Hemet,2016,white
Bonnie,Wright,Hemet,2016,white
Russ,Brown,Hemet,2018,black
Linda,Krupa,Hemet,2018,white
Malcolm,"Lilienthal, Jr.",Hemet,2020,white
Joe,Males,Hemet,2020,white
Karlee,Meyer,Hemet,2020,white
Joe,Males,Hemet,2021,white
Jaculin,Peterson,Hemet,2022,white
Linda,Krupa,Hemet,2022,white
John,Delgado,HERCULES,2010,hispanic
Myrna,Devera,HERCULES,2010,asian
Dan,Romero,Hercules,2011,hispanic
William,Wilkins,Hercules,2011,white
Gerard,Boulanger,Hercules,2011,white
Sherry,McCoy,Hercules,2012,white
Bill,Kelly,Hercules,2012,white
Dan,Romero,Hercules,2012,hispanic
Myrna,De Vera,Hercules,2014,hispanic
Christine,Kelley,Hercules,2014,white
Dan,Romero,Hercules,2016,hispanic
Roland,Esquivias,Hercules,2016,hispanic
Gerard,Boulanger,Hercules,2016,white
Dion,Bailey,Hercules,2018,white
Chris,Kelley,Hercules,2018,white
Tiffany,Grimsley,Hercules,2020,white
Alexander,Walker-Griffin,Hercules,2020,white
Dan,Romero,Hercules,2020,hispanic
Dion,Bailey,Hercules,2022,white
Chris,Kelley,Hercules,2022,white
Michael,Divirgilio,Hermosa Beach,2011,white
Peter,Tucker,Hermosa Beach,2011,white
Nanette,Barragan,Hermosa Beach,2013,hispanic
Carolyn,Petty,Hermosa Beach,2013,white
H.S.,Fangary,Hermosa Beach,2013,white
Justin,Massey,Hermosa Beach,2015,white
Stacey,Armato,Hermosa Beach,2016,black
Stacey,Armato,Hermosa Beach,2017,black
Mary,Campbell,Hermosa Beach,2017,white
H.S.,Fangary,Hermosa Beach,2017,white
Justin,Massey,Hermosa Beach,2019,white
Michael,Detoy,Hermosa Beach,2019,white
Raymond,Jackson,Hermosa Beach,2021,white
Raymond,Jackson,Hermosa Beach,2022,white
Dean,Francois,Hermosa Beach,2022,black
Rob,Saemann,Hermosa Beach,2022,white
Russell,Blewett,HESPERIA,2010,white
Bill,Holland,HESPERIA,2010,white
Thurston,Smith,HESPERIA,2010,black
Eric,Schmidt,Hesperia,2012,white
Mike,Leonard,Hesperia,2012,white
Bill,Holland,Hesperia,2014,white
Russell,Blewett,Hesperia,2014,white
Paul,Russ,Hesperia,2014,white
Larry,Bird,Hesperia,2016,white
Rebekah,Swanson,Hesperia,2016,white
Bill,Holland,Hesperia,2018,white
Cameron,Gregg,Hesperia,2018,white
Jeremiah,Browsowske,Hesperia,2018,white
Rebekah,Swanson,Hesperia,2020,white
Brigit,Bennington,Hesperia,2020,white
Larry,Bird,Hesperia,2020,white
Marvin,Landon,Hidden Hills,2011,white
Larry,Weber,Hidden Hills,2011,white
Stuart,Siegel,Hidden Hills,2011,white
Laura,McCorkindale,Hidden Hills,2019,white
Larry,Weber,Hidden Hills,2019,white
Stuart,Siegel,Hidden Hills,2019,white
Eniko,Gold,Hidden Hills,2020,white
Steve,Freedland,Hidden Hills,2020,white
Laura,McCorkindale,Hidden Hills,2022,white
Joe,Loggia,Hidden Hills,2022,white
Larry,Weber,Hidden Hills,2022,white
Larry,McCallon,HIGHLAND,2010,white
Sam,Racadio,HIGHLAND,2010,hispanic
Jody,Scott,HIGHLAND,2010,white
Penny,Lilburn,Highland,2012,white
John,Timmer,Highland,2012,white
Sam,Racadio,Highland,2014,hispanic
Jody,Scott,Highland,2014,white
Larry,McCallon,Highland,2014,white
Jesus,Chavez,Highland,2016,hispanic
Anaeli,Solano,Highland,2016,hispanic
John,Timmer,Highland,2016,white
Larry,McCallon,Highland,2016,white
John,Timmer,Highland,2018,white
Laurence,May,Hillsborough,2014,black
Marie,Chuang,Hillsborough,2014,asian
Sophie,Cole,Hillsborough,2020,black
Christine,Krolik,Hillsborough,2020,white
Alvin,Royse,Hillsborough,2020,white
Robert,Scattini,HOLLISTER,2010,white
Pauline,Valdivia,HOLLISTER,2010,hispanic
Raymond,Friend,Hollister,2012,white
Victor,Gomez,Hollister,2012,hispanic
Mickie,Luna,Hollister,2014,hispanic
Karson,Klauer,Hollister,2014,white
Raymond,Friend,Hollister,2016,white
Roy,"Sims, III",Hollister,2016,asian
Rolan,Resendiz,Hollister,2018,hispanic
Honor,Spencer,Hollister,2018,white
Marty,Richman,Hollister,2018,white
Rick,Perez,Hollister,2020,hispanic
Tim,Burns,Hollister,2020,white
Dolores,Morales,Hollister,2021,hispanic
Rolan,Resendiz,Hollister,2022,hispanic
Dolores,Morales,Hollister,2022,hispanic
Mike,Goodsell,HOLTVILLE,2010,white
Richard,Layton,HOLTVILLE,2010,white
Virginia,Ward,Holtville,2012,white
James,Predmore,Holtville,2012,white
David,Bradshaw,Holtville,2012,white
J.,Anderson,Holtville,2020,white
Michael,Pacheco,Holtville,2020,hispanic
Virginia,Ward,Holtville,2020,white
Michael,Goodsell,Holtville,2022,white
John,Munger,Holtville,2022,white
George,Carr,HUGHSON,2010,white
Jeramy,Young,HUGHSON,2010,white
Jill,Silva,HUGHSON,2010,hispanic
Matt,Beekman,HUGHSON,2010,white
George,Carr,HUGHSON,2010,white
Jeramy,Young,Hughson,2012,white
Jill,Ferriera-Silva,Hughson,2012,white
George,Carr,Hughson,2014,white
Harold,Hill,Hughson,2014,white
Samuel,"Rush, Jr.",Hughson,2020,white
Ramon,Bawanan,Hughson,2020,white
Randy,Crooker,Hughson,2022,white
Julie,Strain,Hughson,2022,white
Connie,Boardman,HUNTINGTON BEACH,2010,white
Joe,Carchio,HUNTINGTON BEACH,2010,white
Matthew,Harper,HUNTINGTON BEACH,2010,white
Joe,Shaw,HUNTINGTON BEACH,2010,white
Jill,Hardy,Huntington Beach,2012,white
Jim,Katapodis,Huntington Beach,2012,white
Dave,Sullivan,Huntington Beach,2012,black
Barbara,Delgleize,Huntington Beach,2014,black
Mike,Posey,Huntington Beach,2014,white
William,O'Connell,Huntington Beach,2014,white
Erik,Peterson,Huntington Beach,2014,white
Jill,Hardy,Huntington Beach,2016,white
Lyn,Seme,Huntington Beach,2016,white
Patrick,Brenden,Huntington Beach,2016,white
Kim,Carr,Huntington Beach,2018,white
Barbara,Delgleize,Huntington Beach,2018,black
Erik,Peterson,Huntington Beach,2018,white
Mike,Posey,Huntington Beach,2018,white
Dan,Kalmick,Huntington Beach,2020,white
Natalie,Moser,Huntington Beach,2020,white
Tito,Ortiz,Huntington Beach,2020,hispanic
Pat,Burns,Huntington Beach,2022,white
Tony,Strickland,Huntington Beach,2022,white
Gracey,Mark,Huntington Beach,2022,white
Casey,McKeon,Huntington Beach,2022,white
Ofelia,Hernandez,Huntington Park,2011,hispanic
Rosa,Perez,Huntington Park,2011,hispanic
Mario,Gomez,Huntington Park,2011,hispanic
Karina,Macias,Huntington Park,2013,hispanic
Valentin,Amezquita,Huntington Park,2013,hispanic
Graciela,Ortiz,Huntington Park,2015,hispanic
Jhonny,Pineda,Huntington Park,2015,hispanic
Marilyn,Sanabria,Huntington Park,2015,hispanic
Manuel,Avila,Huntington Park,2017,hispanic
Karina,Macias,Huntington Park,2017,hispanic
Eduardo,Martinez,Huntington Park,2020,hispanic
Graciela,Ortiz,Huntington Park,2020,hispanic
Marilyn,Sanabria,Huntington Park,2020,hispanic
Karina,Macias,Huntington Park,2022,hispanic
Manuel,Avila,Huntington Park,2022,hispanic
Mike,Morales,HURON,2010,hispanic
Roberto,Pimentel,HURON,2010,hispanic
Louis,Rodriguez,HURON,2010,hispanic
Roberto,Pimentel,Huron,2014,hispanic
Daniel,"Tamayo, Jr.",Huron,2014,hispanic
Jorge,Solorio,Huron,2014,hispanic
Hilda,Plascenia,Huron,2016,hispanic
Mike,Morales,Huron,2018,hispanic
Roberto,Pimentel,Huron,2018,hispanic
Jorge,Solorio,Huron,2018,hispanic
Hilda,Plasencia,Huron,2020,hispanic
Roberto,Pimentel,Huron,2022,hispanic
Arely,Arellano,Huron,2022,hispanic
Mike,Morales,Huron,2022,hispanic
James,Tucker,Imperial,2014,white
Betty,Sampson,Imperial,2014,white
Geoff,Dale,Imperial,2014,white
P.,Amparano,Imperial,2016,hispanic
Darrell,Pechtl,Imperial,2016,white
Geoff,Dale,Imperial,2018,white
Karen,Eugenio,Imperial,2018,hispanic
James,Tucker,Imperial,2018,white
Justina,Cruz,Imperial,2018,hispanic
Katie,Burnworth,Imperial,2020,white
P.,Amparano,Imperial,2020,hispanic
James,Tucker,Imperial,2022,white
Ida,Martinez,Imperial,2022,hispanic
Stacy,Mendoza,Imperial,2022,hispanic
Lorie,Bragg,IMPERIAL BEACH,2010,white
Ed,Spriggs,IMPERIAL BEACH,2010,white
Brian,Bilbray,IMPERIAL BEACH,2010,white
Bobby,Patton,Imperial Beach,2012,white
Brian,Bilbray,Imperial Beach,2012,white
Ed,Spriggs,Imperial Beach,2014,white
Lorie,Bragg,Imperial Beach,2014,white
Mark,West,Imperial Beach,2016,white
Bobby,Patton,Imperial Beach,2016,white
Paloma,Aguirre,Imperial Beach,2018,hispanic
Ed,Spriggs,Imperial Beach,2018,white
John,Fisher,Imperial Beach,2020,white
Matthew,Leyba-Gonzalez,Imperial Beach,2020,hispanic
Carol,Seabury,Imperial Beach,2022,white
Mitchell,McKay,Imperial Beach,2022,white
Patrick,Mullany,INDIAN WELLS,2010,white
Mary,Roche,INDIAN WELLS,2010,white
Ted,Mertens,Indian Wells,2012,white
Ty,Peabody,Indian Wells,2012,white
Douglas,Hanson,Indian Wells,2012,white
Dana,Reed,Indian Wells,2014,white
Richard,Balocco,Indian Wells,2014,white
Ted,Mertens,Indian Wells,2016,white
Ty,Peabody,Indian Wells,2016,white
Kimberly,Muzik,Indian Wells,2016,white
Richard,Balocco,Indian Wells,2018,white
Dana,Reed,Indian Wells,2018,white
Donna,Griffith,Indian Wells,2020,white
Greg,Sanders,Indian Wells,2020,white
Kimberly,Muzik,Indian Wells,2020,white
Bruce,Whitman,Indian Wells,2022,white
Dana,Reed,Indian Wells,2022,white
Edward,Peabody,Indian Wells,2022,white
Elaine,Holmes,INDIO,2010,white
Ascencion,Torres,INDIO,2010,hispanic
Michael,Wilson,INDIO,2010,white
Glenn,Miller,Indio,2012,white
Lupe,Watson,Indio,2012,white
Elaine,Holmes,Indio,2014,white
Michael,Wilson,Indio,2014,white
Troy,Strange,Indio,2014,black
Glenn,Miller,Indio,2016,white
Lupe,Watson,Indio,2016,white
Waymond,Fermon,Indio,2018,white
Elaine,Holmes,Indio,2018,white
Oscar,Ortiz,Indio,2018,hispanic
Glenn,Miller,Indio,2020,white
Lupe,Amith,Indio,2020,hispanic
Elaine,Holmes,Indio,2022,white
Newell,Ruggles,Industry,2015,white
Cory,Moss,Industry,2015,white
Mark,Radecki,Industry,2015,white
Michael,Greubel,Industry,2020,white
Mike,Stevens,Inglewood,2011,white
Elliott,Petty,Inglewood,2011,white
Ralph,Franklin,Inglewood,2011,white
George,Dotson,Inglewood,2013,white
Alex,Padilla,Inglewood,2013,hispanic
Elroy,"Morales, Jr.",Inglewood,2015,hispanic
Ralph,Franklin,Inglewood,2015,white
George,Dotson,Inglewood,2017,white
Alex,Padilla,Inglewood,2017,hispanic
Dionne,Faulk,Inglewood,2020,white
Eloy,"Morales, Jr.",Inglewood,2020,hispanic
George,Dotson,Inglewood,2022,white
Alex,Padilla,Inglewood,2022,hispanic
Gloria,Gray,Inglewood,2023,white
Daniel,Epperson,IONE,2010,white
Lloyd,Oneto,IONE,2010,white
Ron,Smylie,IONE,2010,white
Patrick,Weart,Ione,2012,white
Dale,Haney,Ione,2012,white
Ronald,Smylie,Ione,2014,white
Dominic,Atlan,Ione,2014,white
Daniel,Epperson,Ione,2014,white
Thomas,Reed,Ione,2016,white
Diane,Wratten,Ione,2016,white
Dominic,Atlan,Ione,2018,white
Daniel,Epperson,Ione,2018,white
Stacy,Rhoades,Ione,2018,white
Jeffrey,Gold,Ione,2020,white
Diane,Wratten,Ione,2020,white
Jack,Mitchell,Ione,2022,white
Alison,Lafayne,Ione,2022,white
Dominic,Atlan,Ione,2022,white
Stacy,Rhoades,Ione,2022,white
Larry,Agran,IRVINE,2010,white
Jeffrey,Lalloway,IRVINE,2010,white
Christina,Shea,Irvine,2012,white
Lynn,Schott,Irvine,2012,white
Beth,Krom,Irvine,2012,white
Lynn,Schott,Irvine,2014,white
Jeffrey,Lalloway,Irvine,2014,white
Christina,Shea,Irvine,2016,white
Melissa,Fox,Irvine,2016,white
Farrah,Khan,Irvine,2018,asian
Anthony,Kuo,Irvine,2018,asian
Larry,Agran,Irvine,2020,white
Tammy,Kim,Irvine,2020,asian
Mike,Carroll,Irvine,2020,white
Larry,Agran,Irvine,2022,white
Kathleen,Treseder,Irvine,2022,white
Mark,Breceda,Irwindale,2011,hispanic
Manuel,Garcia,Irwindale,2011,hispanic
Julian,Miranda,Irwindale,2011,hispanic
Mark,Brededa,Irwindale,2015,hispanic
Manuel,Garcia,Irwindale,2015,hispanic
Larry,Burrola,Irwindale,2015,hispanic
Albert,Ambriz,Irwindale,2018,hispanic
Hector,Ortiz,Irwindale,2018,hispanic
Mark,Breceda,Irwindale,2020,hispanic
Larry,Burrola,Irwindale,2020,hispanic
Manuel,Garcia,Irwindale,2020,hispanic
Hector,Ortiz,Irwindale,2022,hispanic
Albert,Ambriz,Irwindale,2022,hispanic
Pamela,Bulahan,Isleton,2011,white
Eric,Pene,Isleton,2014,white
Elizabeth,Samano,Isleton,2014,hispanic
Robert,Jankovitz,Isleton,2014,white
Glenn,Giovannoni,Isleton,2016,white
Dean,Dockery,Isleton,2016,white
Pamela,Bulahan,Isleton,2018,white
Eric,Pene,Isleton,2018,white
Iva,Walton,Isleton,2018,white
Barbara,Dockery,Isleton,2020,white
Paul,Steele,Isleton,2020,white
Pamela,Bulahan,Isleton,2022,white
David,Kent,Isleton,2022,white
Iva,Walton,Isleton,2022,white
E.,Hutson,Isleton,2022,white
Wayne,Garibaldi,Jackson,2016,hispanic
Keith,Sweet,Jackson,2016,white
Marilyn,Lewis,Jackson,2016,white
Steve,McLean,Jackson,2020,white
Matthew,Riebe,Jackson,2020,white
Charles,Simmons,Jackson,2020,white
Brad,Hancock,Jurupa Valley,2012,black
Frank,Johnston,Jurupa Valley,2012,white
Laura,Roughton,Jurupa Valley,2014,white
Brian,Berkson,Jurupa Valley,2014,white
Verne,Lauritzen,Jurupa Valley,2014,white
Michael,Goodland,Jurupa Valley,2016,white
Anthony,"Kelly, Jr.",Jurupa Valley,2016,white
Lorena,Barajas,Jurupa Valley,2018,hispanic
Brian,Berkson,Jurupa Valley,2018,white
Chris,Barajas,Jurupa Valley,2018,hispanic
Guillermo,Silva,Jurupa Valley,2020,hispanic
Leslie,Altamirano,Jurupa Valley,2020,hispanic
Armando,Carmona,Jurupa Valley,2022,hispanic
Brian,Berkson,Jurupa Valley,2022,white
Chris,Barajas,Jurupa Valley,2022,hispanic
Laura,Roughton,Jurupa Valley - Proposed,2011,white
Verne,Lauritzen,Jurupa Valley - Proposed,2011,white
Micheal,Goodland,Jurupa Valley - Proposed,2011,white
Frank,Johnston,Jurupa Valley - Proposed,2011,white
Brad,Hancock,Jurupa Valley - Proposed,2011,black
Raj,Dhaliwal,KERMAN,2010,asian
Douglas,Wilcox,KERMAN,2010,white
Nathan,Fox,Kerman,2012,white
Charles,Jones,Kerman,2012,black
Rhonda,Armstrong,Kerman,2014,white
Gary,Yep,Kerman,2014,asian
Kanwaldeep,Dhaliwal,Kerman,2016,asian
Espiridion,Sandoval,Kerman,2016,hispanic
Gary,Yep,Kerman,2018,asian
Ismael,Herrera,Kerman,2018,hispanic
Jennifer,Coleman,Kerman,2020,white
Dilber,Nijjer,Kerman,2020,white
Gary,Yep,Kerman,2022,asian
Ismael,Herrera,Kerman,2022,hispanic
Carlos,Deleon,King,2016,hispanic
Carlos,Victoria,King,2016,hispanic
Robert,Cullen,King,2016,white
Darlene,Acosta,King,2018,hispanic
Mike,Lebarre,King,2018,hispanic
Carlos,Deleón,King,2020,white
Robert,Cullen,King,2020,white
Darlene,Acosta,King,2022,hispanic
Mike,LeBarre,King,2022,hispanic
Terry,Hughes,KING CITY,2010,white
Carlos,Victoria,KING CITY,2010,hispanic
Belinda,Hendrickson,King City,2012,white
Karen,Jernigan,King City,2012,white
Robert,Cullen,King City,2012,white
Mike,Lebarre,King City,2014,hispanic
Darlene,Acosta,King City,2014,hispanic
Ben,Creighton,Kingsburg,2012,white
Chet,Reilly,Kingsburg,2012,white
Michelle,Roman,Kingsburg,2012,hispanic
Staci,Smith,Kingsburg,2014,black
Bruce,Blayney,Kingsburg,2014,white
Michelle,Roman,Kingsburg,2014,hispanic
Laura,North,Kingsburg,2016,white
Sherman,Dix,Kingsburg,2016,white
David,Silva,Kingsburg,2022,hispanic
Staci,Smith,Kingsburg,2022,black
Vince,Palomar,Kingsburg,2022,white
Jewel,Hurtado,Kinsburg,2018,hispanic
Vince,Palomar,Kinsburg,2018,white
Laura,Olhasso,La Canada Flintridge,2011,white
Donald,Voss,La Canada Flintridge,2011,white
Michael,Davitt,La Canada Flintridge,2011,white
Jon,Curtis,La Canada Flintridge,2013,white
David,Spence,La Canada Flintridge,2013,white
Jonathan,Curtis,La Canada Flintridge,2017,white
David,Spence,La Canada Flintridge,2017,white
Keith,Eich,La Canada Flintridge,2020,white
Rick,Gunter,La Canada Flintridge,2020,white
Terry,Walker,La Canada Flintridge,2020,white
Kim,Bowman,La Cañada Flintridge,2022,white
Michael,Davitt,La Cañada Flintridge,2022,white
Michael,Blazey,LA HABRA,2010,white
James,Gomez,LA HABRA,2010,hispanic
Tim,Shaw,La Habra,2016,white
Rose,Espinoza,La Habra,2016,hispanic
Tom,Beamish,La Habra,2016,white
James,Gomez,La Habra,2018,hispanic
Jose,Medrano,La Habra,2018,hispanic
Steve,Simonian,La Habra,2020,white
Rose,Espinoza,La Habra,2020,hispanic
Tim,Shaw,La Habra,2020,white
Jose,Medrano,La Habra,2022,hispanic
James,Gomez,La Habra,2022,hispanic
Daren,Nigsarian,La Habra,2022,white
Roy,Francis,La Habra Heights,2011,white
Howard,Vipperman,La Habra Heights,2011,white
Brian,Bergman,La Habra Heights,2013,white
Michael,Higgins,La Habra Heights,2013,white
Kyle,Miller,La Habra Heights,2013,white
Roy,Francis,La Habra Heights,2015,white
Jane,Williams,La Habra Heights,2015,black
Brian,Bergman,La Habra Heights,2017,white
Carey,Klingfus,La Habra Heights,2017,white
Norm,Zezula,La Habra Heights,2017,white
Dennis,Laherty,La Habra Heights,2019,white
Jane,Williams,La Habra Heights,2019,black
Mark,Arapostathis,LA MESA,2010,hispanic
Ernie,Ewin,LA MESA,2010,white
Kristine,Alessio,La Mesa,2012,white
Ruth,Sterling,La Mesa,2012,white
Bill,Baber,La Mesa,2014,white
Guy,McWhirter,La Mesa,2014,white
Kristine,Alessio,La Mesa,2016,white
Colin,Parent,La Mesa,2016,white
Bill,Baber,La Mesa,2018,white
Akilah,Weber,La Mesa,2018,white
Jack,Shu,La Mesa,2020,asian
Colin,Parent,La Mesa,2020,white
Laura,Lothian,La Mesa,2021,white
Patricia,Dillard,La Mesa,2022,white
Laura,Lothian,La Mesa,2022,white
Steve,Jones,La Mirada,2011,black
Steve,DeRuse,La Mirada,2011,white
Larry,Mowles,La Mirada,2011,white
Pauline,Deal,La Mirada,2013,white
Andrew,Sarega,La Mirada,2013,hispanic
Ed,Eng,La Mirada,2015,asian
John,Sarega,La Mirada,2015,hispanic
Steve,De Ruse,La Mirada,2015,white
John,Lewis,La Mirada,2017,white
Andrew,Sarega,La Mirada,2017,hispanic
Anthony,Otero,La Mirada,2020,hispanic
Ed,Eng,La Mirada,2020,asian
Steve,De Ruse,La Mirada,2020,white
Andrew,Sarega,La Mirada,2022,hispanic
Henry,Charoen,LA PALMA,2010,white
Steve,Hwangbo,LA PALMA,2010,asian
Peter,Kim,La Palma,2012,asian
Gerard,Goedhart,La Palma,2012,white
Steve,Shanahan,La Palma,2012,white
Steve,Hwangbo,La Palma,2014,asian
Michele,Steggell,La Palma,2014,white
Gerard,Goedhart,La Palma,2016,white
Peter,Kim,La Palma,2016,asian
Marshall,Goodman,La Palma,2016,white
Nitesh,Patel,La Palma,2018,asian
Michele,Steggell,La Palma,2018,white
Debbie,Baker,La Palma,2020,white
Mark,Waldman,La Palma,2020,white
Marshall,Goodman,La Palma,2020,white
Nitesh,Patel,La Palma,2022,asian
Janet,Conklin,La Palma,2022,white
Violeta,Lewis,La Puente,2012,white
Charlie,Klinakis,La Puente,2012,white
Dan,Holloway,La Puente,2012,white
Valerie,Munoz,La Puente,2014,hispanic
David,Argudo,La Puente,2014,hispanic
Dan,Holloway,La Puente,2016,white
Violeta,Lewis,La Puente,2016,white
John,Solis,La Puente,2016,hispanic
Charlie,Klinakis,La Puente,2018,white
Valerie,Munoz,La Puente,2018,hispanic
David,Argudo,La Puente,2020,hispanic
Gabriel,Quiñones,La Puente,2020,hispanic
Violeta,Lewis,La Puente,2020,white
Charlie,Klinakis,La Puente,2022,white
Valerie,Muñoz,La Puente,2022,white
Nadia,Mendoza,La Puente,2022,hispanic
Linda,Evans,LA QUINTA,2010,white
Terry,Henderson,LA QUINTA,2010,white
Kristy,Franklin,La Quinta,2012,white
Lee,Osborne,La Quinta,2012,white
John,Pena,La Quinta,2014,hispanic
Robert,Radi,La Quinta,2014,white
Steve,Sanchez,La Quinta,2016,hispanic
Kathleen,Fitzpatrick,La Quinta,2016,black
John,Penaloza,La Quinta,2018,hispanic
Robert,Radi,La Quinta,2018,white
Kathleen,Fitzpatrick,La Quinta,2020,black
Steve,Sanchez,La Quinta,2020,hispanic
John,Peña,La Quinta,2022,white
Deborah,McGarrey,La Quinta,2022,white
Tim,Hepburn,La Verne,2015,white
Charlie,Rosales,La Verne,2015,hispanic
Robin,Carder,La Verne,2017,white
Muir,Davis,La Verne,2017,black
Rick,Crosby,La Verne,2020,white
Wendy,Lau,La Verne,2020,asian
Steven,Johnson,La Verne,2022,black
Meshal,Kashifalghita,La Verne,2022,asian
Tim,Hepburn,La Verne,2022,white
Brandt,Andersson,LAFAYETTE,2010,black
Don,Tatzin,LAFAYETTE,2010,white
Traci,Reilly,Lafayette,2012,white
Mark,Mitchell,Lafayette,2012,white
Mike,Anderson,Lafayette,2012,white
Mike,Anderson,Lafayette,2016,white
Mark,Mitchell,Lafayette,2016,white
Cameron,Burks,Lafayette,2016,white
Susan,Candell,Lafayette,2018,white
Teresa,Gerringer,Lafayette,2018,white
Carl,Anduri,Lafayette,2020,black
Gina,Dawson,Lafayette,2020,white
Cameron,Burks,Lafayette,2020,white
Kelly,Boyd,LAGUNA BEACH,2010,white
Toni,Iseman,LAGUNA BEACH,2010,white
Elizabeth,Pearson,LAGUNA BEACH,2010,white
Bob,Whalen,Laguna Beach,2012,white
Steve,Dicterow,Laguna Beach,2012,white
Kelly,Boyd,Laguna Beach,2014,white
Toni,Iseman,Laguna Beach,2014,white
Robert,Zur Schmiede,Laguna Beach,2014,white
Bob,Whalen,Laguna Beach,2016,white
Steve,Dicterow,Laguna Beach,2016,white
Peter,Blake,Laguna Beach,2018,white
Toni,Iseman,Laguna Beach,2018,white
Sue,Kempf,Laguna Beach,2018,white
George,Weiss,Laguna Beach,2020,white
Bob,Whalen,Laguna Beach,2020,white
Alex,Rounaghi,Laguna Beach,2022,white
Sue,Kempf,Laguna Beach,2022,white
Mark,Orgill,Laguna Beach,2022,white
Randal,Bressette,LAGUNA HILLS,2010,white
Melody,Carruth,LAGUNA HILLS,2010,white
Barbara,Kogerman,LAGUNA HILLS,2010,white
Andrew,Blount,Laguna Hills,2012,white
Dore,Gilbert,Laguna Hills,2012,white
Janine,Heft,Laguna Hills,2016,white
Dore,Gilbert,Laguna Hills,2016,white
Erica,Pezold,Laguna Hills,2018,white
Don,Sedgwick,Laguna Hills,2018,white
David,Wheeler,Laguna Hills,2018,white
Bill,Hunt,Laguna Hills,2020,white
Janine,Heft,Laguna Hills,2020,white
Erica,Pezold,Laguna Hills,2022,white
David,Wheeler,Laguna Hills,2022,white
Joshua,Sweeney,Laguna Hills,2022,white
Donald,Caskey,Laguna Hills,2022,white
Linda,Lindholm,LAGUNA NIGUEL,2010,white
Robert,Ming,LAGUNA NIGUEL,2010,white
Laurie,Davies,Laguna Niguel,2012,white
Jerry,Slusiewicz,Laguna Niguel,2012,white
Jerry,McCloskey,Laguna Niguel,2012,white
Elaine,Gennaway,Laguna Niguel,2014,white
Fred,Minagar,Laguna Niguel,2014,white
Laurie,Davies,Laguna Niguel,2016,white
Jerry,Slusie,Laguna Niguel,2016,white
John,Jennings,Laguna Niguel,2016,white
Elaine,Gennawey,Laguna Niguel,2018,white
Fred,Minagar,Laguna Niguel,2018,white
Sandy,Rains,Laguna Niguel,2018,white
Kelly,Jennings,Laguna Niguel,2020,white
Rischi,Sharma,Laguna Niguel,2020,asian
